College Code,College Name,District,Pincode
1324,Sri Sai Ram Institute of Technology Autonomous West Tambaram Chennai,Chennai District,600044
1325,St. Joseph College of Engineering Trinity Campus Nemili Sriperumpudur Taluk,Kancheepuram District,602105
1333,- Vi Institute of Technology Sirunkundram Village & Post,Chengalpattu District,603108
1334,ARS College of Engineering Maraimalai Nagar Post -,Chengalpattu District,603209
1335,Sri Krishna Institute of Technology Panapakkam Padappai Chennai,Chennai  69 District,601301
1399,Chennai Institute of Technology Autonomous Puduper Village Nandambakkam,Nandambakkam District,600069
1400,Mohamed Sathak A.J. Academy of Architecture No. Old Mahabalipuram Road,Chengalpattu District,603103
1401,Adhiparasakthi Engineering College Melmaruvathur,Chengalpattu District,603319
1402,Annai Teresa College of Engineering Thirunavalur,Kallakkurichi District,607204
1405,Dhanalakshmi College of Engineering Manimangalam Chennai,Chennai  73 District,601301
1407,G K M College of Engineering and Technology Alappakkam-Mappedu Road,Alappakkam-Mappedu Road District,600063
1408,I F E T College of Engineering Autonomous Gangarampalayam Villupuram,Villupuram District,605108
1409,KarpagaVinayaga College of Engineering and Technology Palayanoor Post,Chengalpattu District,603308
1411,Madha Engineering College Kundrathur Chennai,Chennai  77 District,600069
1412,Mailam Engineering College Mailam,Villupuram District,604304
1413,Sri Venkateswaraa College of Technology Sirukulathur Vadakkal Village Pondur,Kancheepuram District,602105
1414,Prince Shri Venkateshwara Padmavathy Engineering College,80 Prince Shri Venkateshwara Padmavathy Engineering College District,600048
1415,T S M Jain College of Technology Melur Village,Kallakurichi District,606201
1416,Jaya Sakthi Engineering College Thirunindravur Chennai,Chennai  82 District,602024
1419,Sri Sai Ram Enginering College Autonomous West Tambaram Chennai,Chennai  83 District,600044
1420,Tagore Engineering College Rathnamangalam Vandalur Post Chennai,Chennai  84 District,600048
1421,V R S College of Engineering and Technology Arasur,Villupuram District,607107
1422,SRM Valliammai Engineering College Autonomous Kattankulathur Chennai,Chennai District,603203
1424,Dhaanish Ahmed College of Engineering Padappai Chennai,Chennai  88 District,601301
1426,Sri Ramanujar Engineering College Vandalur Kolappakkam Chennai,Chennai  89 District,600127
1427,Sri Krishna Engineering College Panappakkam Padappai Chennai,Chennai  90 District,601301
1428,E S Engineering College Chennai Trunk Road Ayyankoilpattu,Villupuram District,605602
1430,Maha Bharathi Engineering College A Vasudevanur Chinnasalem Kallakurichi,Kallakurichi District,606201
1431,New Prince Shri Bhavani College of Engineering and Technology Autonomous,92 New Prince Shri Bhavani College of Engineering and Technology(Autonomous) District,600073
1432,Rajalakshmi Institute of Technology Autonomous Irulapalayam Kuthampakkam,Kancheepuram District,600124
1434,Surya Group of Institutions GST Road Vikravandi Village,Villupuram District,605652
1436,A R Engineering College Vadakuchipalayam Kappiyampuliyur Post Villupuram,Villupuram District,605601
1437,Rrase College of Engineering Padappai Kancheepuram,Kancheepuram  96 District,601301
1438,Sree Krishna College of Engineering Anaicut Post Unnai Village,Vellore District,632101
1441,A K T Memorial College of Engineering and Technology Neelamangalam Village,Kallakurichi District,606202
1442,Prince Dr. K Vasudevan College of Engineering and Technology Medavakkam-,Medavakkam- District,600127
1444,Chendu College of Engineering and Technology ZaminEndathur Village,Chengalpattu District,600127
1445,Sri Rangapoopathi College of Engineering Alampoondi Village Gingee Villupuram,Villupuram District,604151
1449,Saraswathy College of Engineering and Technology NH- Main Road Olakkur,Villupuram District,604307
1450,Loyola ICAM College of Engineering and Technology Loyola College Campus,Loyola College Campus District,600034
1452,PERI Institute of Technology Mannivakkam West Tambaram Chennai,Chennai  104 District,600048
1501,Adhiparasakthi College of Engineering Kalavai,Ranipet District,632506
1503,Arulmigu Meenakshi Amman College of Engineering,Thiruvannamalai District,604410
1504,Arunai Engineering College Mathur,Thiruvannamalai District,606603
1505,C Abdul Hakeem College of Engineering and Technology Melvisharam Ranipet,Ranipet District,632509
1507,Ganadipathy Tulsi’s Jain Engineering College Kaniyambadi,Vellore District,632102
1509,Meenakshi College of Engineering Vembuliamman Koil Street K K Nagar West,K K Nagar (West) District,600078
1510,Priyadarshini Engineering College Vaniyambadi Post,Thiruppattur District,635751
1511,Ranipettai Engineering College Thenkadappanthangal,Ranipet District,632513
1512,S K P Engineering College,Thiruvannamalai District,606611
1513,Sri Balaji Chockalingam Engineering College Arni,Thiruvannamalai District,632317
1517,Thirumalai Engineering College Kilambi,Kancheepuram District,631551
1518,Thiruvalluvar College of Engineering and Technology Vandavasi Thiruvannamalai,Thiruvannamalai District,604505
1519,Bharathidasan Engineering College Nattrampalli Post,Thiruppathur District,635854
1520,Kingston Engineering College Chithoor Main Road Christianpet Village Katpadi,Vellore District,632059
1523,Global Institute of Engineering and Technology Bangalore-Chennai Highway,Ranipet District,632506
1524,Annamalaiar College of Engineering Modaiyur Village Polur Taluk,Thiruvannamalai District,606902
1525,Podhigai College of Engineering and Technology Vinayakapuram Adiyur Post,Tirupattur District,635601
1526,Sri Krishna College of Engineering Tiruttani High Road Arakkonam Ranipet,Ranipet District,631003
1529,Oxford College of Engineering Venmani Village Karaipoondi Post Polur Taluk,Thiruvannamalai District,606803
1533, Panimalar Engineering College,Chennai City District,600029
1605,Idhaya Engineering College for Women Chinnasalem,Kallakkurichi District,606201
2302,Sri Shanmugha College of Engineering and Technology Morur Bit II Village Salem,Salem District,637304
2314,Muthayammal College of Engineering Kakkaveri Post,Namakkal District,637408
2327,N S N College of Engineering and Technology Karur-Madurai NH7 Manalmedu,Karur District,639003
2328,K S R Institute for Engineering and Technology Autonomous Thokkavadi,Namakkal District,637215
2329,Rathinam Technical Campus Pollachi Road Autonomous Eachanari Coimbatore,Coimbatore District,641021
2332,Aishwarya College of Engineering and Technology ErrattaikaraduParuvachi Post,Erode District,638312
2338,Asian College of Engineering and Technology Asian College Road,Coimbatore District,641110
2341,Ganesh College of Engineering Attur Main Road Mettupatti,Salem District,636111
2342,Sri Ranganathar Institute of Engineering and Technology Thudialur-Kovilpalay,Coimbatore District,641110
2344,Kongu School of Architecture Kongu Engineering College Campus Perundurai,Erode District,638052
2345,Dhirajlal Gandhi College of Technology Sikkanampatty Opp. to Airport Omalur,Salem District,636309
2346,- Shree Sathyam College of Engineering and Technology NH- Manjakkalpatti,Salem District,637301
2347,- AVS College of Technology Attur Main Road Near AVS College of Arts & Science,Salem District,636106
2348,San Academy of Architecture ACC Pirivu NavakaraiPost Walayar Coimbatore,Coimbatore District,641105
2349,Dhaanish Ahmed Institute of Technology Pichanur Post Near K G Chavadi,Coimbatore District,641105
2356,Arulmurugan College of Engineering Karvazhi Road Thennilai Post,Karur District,639206
2357,V S B College of Engineering Technical Campus EalurPirivu Solavampalayam Post,Coimbatore District,642109
2360,Suguna College of Engineering Kalappatti Road Civil Aerodrome Post,Coimbatore District,641014
2361,Sasi Creative School of Archiecture No./2B Roja Raja Garden Pollachi Main,Coimbatore District,641032
2364,VellimalaiPattinam Narasipuram Post Thondamuthur Via School of Architecture Coimbatore Institute of Engineering and Technology,Coimbatore District,641109
2365,- Nehru School of Architecture No.-D Palakkad Main,Coimbatore District,641008
2367,Arjun College of Technology Chettiyakkapalayam Kinathukadavu Coimbatore,Coimbatore District,642120
2368,- Vishnu Lakshmi College of Engineering and Technology Vellalore Post,Coimbatore District,641111
2372,Park Institute of Architecture Avinashi Road NH- Kaniyur,Coimbatore District,641659
2373,Hindusthan School of Architecture Othakkalmandabam Post,Coimbatore District,641032
2376,Rathinam School of Architecture RathinamTechzone campus Pollachi Road,Pollachi Road District,641021
2377,PSG Institute of Technology and Applied Research Avinashi Road Neelambur,Neelambur District,641062
2601,Adhiyamaan College of Engineering Autonomous Hosur,Krishnagiri District,635109
2602,AnnaiMathammal Sheela Engineering College Erumapatty Post,Namakkal District,637013
2606,Jayam College of Engineering and Technology Nallanur Post,Dharmapuri District,636813
2607,K S Rangasamy College of Technology Autonomous Tiruchengode Namakkal,Namakkal District,637215
2608,M Kumarasamy College of Engineering Autonomous Thalavapalayam Karur,Karur District,639113
2609,Mahendra Engineering College Autonomous Mahendhirapuri Mallasamudram,Namakkal District,637503
2610,Muthayammal Engineering College Autonomous Rasipuram,Namakkal District,637408
2611,Paavai Engineering College Autonomous NH- Pachal Post,Namakkal District,637018
2612,P G P College of Engineering and Technology Paramathi Post,Namakkal District,637207
2613,K S R College of Engineering Autonomous Tiruchengode,Namakkal District,637215
2614,S S M College of Engineering Komarapalayam,Namakkal District,638183
2616,Sapthagiri College of Engineering Periyanahalli Post,Dharmapuri District,635205
2617,Sengunthar Engineering College Autonomous Tiruchengode,Namakkal District,637205
2618,- Sona College of Technology Autonomous Suramangalam Post,Salem District,636005
2620,Sathinaickenpalayam Elayampalayam Village Kumaramangalam Namakkal Vivekanandha College of Engineering for Women Autonomous,Namakkal 164 Vivekanandha College of Engineering for Women (Autonomous) District,637205
2621,Er. Perumal Manimekalai College of Engineering Autonomous NearKoneripalli,Krishnagiri District,635117
2622,V S B Engineering College Autonomous Kovai Road,Karur District,639111
2623,Mahendra College of Engineering Attur Road Minnampalli Valapady Salem,Salem District,636106
2624,Gnanamani College of Technology Autonomous Pachal Post,Namakkal District,637018
2625,The Kavery Engineering College M Kalipatti Post Mecheri,Salem District,634456
2627,Selvam College of Technology Pappanaickenpatti Post,Namakkal District,637003
2628,Paavai College of Engineering Autonomous NH- Pachal Post,Namakkal District,637018
2630,Chettinad College of Engineering and Technology NH- Trichy Main Road,Karur District,639114
2632,Mahendra Institute of Technology Autonomous Mahendhirapuri,Namakkal District,637503
2634,Pallakapalayam Sankari West Post Komarapalayam Taluk -,Namakkal District,637303
2635,CMS College of Engineering Emapuram Post,Namakkal District,637003
2636,A V S Engineering College Military Road Ammapet,Salem District,636003
2638,Mahendra Engineering College for Women Kumaramangalam,Namakkal District,637205
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,Salem District,636305
2640,Jayalakshmi Institute of Technology Thoppur,Dharmapuri District,635352
2641,VaruvanVadivelan Institute of Technology Nallanahalli,Dharmapuri District,636701
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,Krishnagiri District,635108
2643,Bharathiyar Institute of Engineering for Women Deviayakurichi Attur Taluk,Salem District,636112
2646,Tagore Institute of Engineering and Technology Deviyakurichi Attur Taluk Salem,Salem District,636112
2647,J K K Nataraja College of Engineering and Technology Komarapalayam Amani,Namakkal District,638183
2648,Annapoorana Engineering College Autonomous Sankari Main Road NH-,Salem District,636308
2650,Christ The King Engineering College Cecilia Gardens Chikkarampalayam Village,Coimbatore District,641104
2651,Jai Shriram Engineering College Dharapuram Road Avinashi Palayam Tiruppur,Tiruppur District,638660
2652,AL-Ameen Engineering College Autonomous KarundevanPalayam,Erode District,638104
2653,Knowledge Institute of Technology Autonomous KIOT Campus Kakapalayam,Salem District,637504
2656,Builders Engineering college Nathakadaiyur Erode Road Palayakottai Village,Tiruppur District,638108
